direction,year,month,day,class,class_count
SIB,20,5,30,13,67
SIB,20,11,22,9,291
SIB,20,4,14,10,25
SIB,20,5,5,2,37753
SIB,20,8,19,2,43924
SIB,20,11,19,5,2085
SIB,20,2,28,3,8174
SIB,20,7,17,7,374
SIB,20,2,20,3,7682
SIB,20,5,4,9,1031
SIB,20,9,23,1,1188
SIB,20,4,20,9,935
SIB,20,8,15,8,248
SIB,20,9,1,13,56
SIB,20,5,11,13,79
SIB,20,8,4,5,1428
SIB,20,6,28,9,246
SIB,20,6,29,7,212
SIB,20,9,28,11,31
SIB,20,12,18,6,145
SIB,20,10,20,4,139
SIB,20,1,11,4,263
SIB,20,5,22,11,60
SIB,20,10,28,7,56
SIB,20,7,5,4,83
SIB,20,5,2,2,36055
SIB,20,11,8,2,52175
SIB,20,10,31,2,53546
SIB,20,10,21,2,34188
SIB,20,11,27,3,5598
SIB,20,9,11,1,661
SIB,20,2,9,8,171
SIB,20,11,30,1,450
SIB,20,5,2,8,269
SIB,20,5,31,9,225
SIB,20,6,25,10,335
SIB,20,1,14,10,128
SIB,20,1,6,4,370
SIB,20,3,23,6,653
SIB,20,11,22,1,306
SIB,20,8,13,1,1101
SIB,20,11,25,7,319
SIB,20,9,7,4,128
SIB,20,4,28,1,167
SIB,20,3,12,10,165
SIB,20,10,1,8,539
SIB,20,6,23,13,57
SIB,20,1,18,1,62
SIB,20,3,21,1,43
SIB,20,12,15,11,65
SIB,20,12,17,8,29
SIB,20,2,7,10,82
SIB,20,2,13,13,17
SIB,20,6,4,3,7612
SIB,20,8,15,9,504
SIB,20,11,22,2,47938
SIB,20,12,7,5,1906
SIB,20,12,13,2,28715
SIB,20,1,9,6,1050
SIB,20,8,11,7,314
SIB,20,2,18,1,1023
SIB,20,1,11,6,416
SIB,20,5,7,10,275
SIB,20,6,6,5,737
SIB,20,1,20,5,1498
SIB,20,9,7,9,380
SIB,20,9,5,9,492
SIB,20,1,16,4,413
SIB,20,6,8,6,935
SIB,20,2,15,7,28
SIB,20,3,17,7,240
SIB,20,11,10,7,405
SIB,20,9,1,10,178
SIB,20,11,7,7,83
SIB,20,10,23,10,152
SIB,20,6,29,12,70
SIB,20,12,22,4,101
SIB,20,3,21,4,94
SIB,20,4,9,11,49
SIB,20,4,18,3,2183
SIB,20,4,19,2,27271
SIB,20,4,10,2,25841
SIB,20,10,5,2,43965
SIB,20,4,15,5,1106
SIB,20,2,6,9,1179
SIB,20,5,13,3,6824
SIB,20,10,2,1,739
SIB,20,2,5,6,1101
SIB,20,6,4,4,240
SIB,20,6,20,6,276
SIB,20,4,25,9,206
SIB,20,9,8,11,58
SIB,20,7,16,12,47
SIB,20,3,8,11,22
SIB,20,7,9,1,1338
SIB,20,7,10,2,34517
SIB,20,1,15,3,8522
SIB,20,3,10,3,8109
SIB,20,12,9,1,174
SIB,20,2,25,9,1213
SIB,20,2,17,9,914
SIB,20,8,26,6,997
SIB,20,2,8,8,260
SIB,20,7,3,8,346
SIB,20,5,5,6,805
SIB,20,5,20,13,25
SIB,20,4,6,8,362
SIB,20,4,23,1,222
SIB,20,6,10,10,569
SIB,20,5,22,6,844
SIB,20,1,31,11,58
SIB,20,5,30,8,183
SIB,20,10,1,10,143
SIB,20,8,27,10,110
SIB,20,7,17,2,40598
SIB,20,2,12,2,15518
SIB,20,8,29,2,41418
SIB,20,5,6,7,226
SIB,20,12,10,3,7434
SIB,20,7,5,3,3347
SIB,20,3,15,3,3302
SIB,20,10,1,12,19
SIB,20,9,24,1,911
SIB,20,8,15,7,64
SIB,20,2,12,9,630
SIB,20,9,18,9,1270
SIB,20,4,4,5,404
SIB,20,7,31,8,510
SIB,20,8,22,9,538
SIB,20,12,28,11,7
SIB,20,7,31,4,267
SIB,20,6,10,11,75
SIB,20,9,16,4,236
SIB,20,7,5,6,97
SIB,20,10,19,13,24
SIB,20,2,29,7,37
SIB,20,10,30,2,28142
SIB,20,5,10,3,2225
SIB,20,12,23,3,4531
SIB,20,5,20,6,889
SIB,20,4,14,6,551
SIB,20,5,4,3,6049
SIB,20,11,29,3,3634
SIB,20,5,1,6,685
SIB,20,3,30,3,4698
SIB,20,10,15,7,350
SIB,20,5,16,9,423
SIB,20,4,6,10,21
SIB,20,10,1,4,264
SIB,20,11,12,4,62
SIB,20,6,6,4,179
SIB,20,3,30,1,64
SIB,20,8,16,8,177
SIB,20,8,18,13,22
SIB,20,11,28,3,4805
SIB,20,10,3,3,4993
SIB,20,2,19,2,44593
SIB,20,3,16,3,7531
SIB,20,7,12,9,195
SIB,20,7,4,1,198
SIB,20,9,1,9,846
SIB,20,6,17,3,7188
SIB,20,8,24,9,1132
SIB,20,5,28,10,449
SIB,20,5,22,9,1137
SIB,20,5,10,8,158
SIB,20,5,6,10,511
SIB,20,5,8,1,469
SIB,20,6,17,1,1831
SIB,20,8,6,11,82
SIB,20,11,8,8,167
SIB,20,11,2,11,38
SIB,20,2,24,6,1052
SIB,20,3,12,13,19
SIB,20,6,5,11,86
SIB,20,10,19,3,7958
SIB,20,8,10,2,45239
SIB,20,11,12,3,4690
SIB,20,3,1,2,58981
SIB,20,12,3,9,1481
SIB,20,4,30,3,5787
SIB,20,1,9,3,8035
SIB,20,12,11,9,1261
SIB,20,3,13,9,1139
SIB,20,5,19,9,1154
SIB,20,5,12,12,78
SIB,20,8,17,11,49
SIB,20,7,11,8,279
SIB,20,2,7,12,10
SIB,20,10,10,4,152
SIB,20,10,24,5,292
SIB,20,3,26,10,43
SIB,20,12,4,10,202
SIB,20,3,1,7,10
SIB,20,10,24,6,122
SIB,20,9,1,11,67
SIB,20,10,25,9,127
SIB,20,3,10,11,81
SIB,20,9,13,2,55541
SIB,20,6,25,2,46431
SIB,20,3,6,2,44129
SIB,20,10,14,8,543
SIB,20,2,17,5,1473
SIB,20,5,7,8,439
SIB,20,3,18,5,1923
SIB,20,9,28,1,789
SIB,20,1,30,1,570
SIB,20,6,11,13,96
SIB,20,9,3,8,541
SIB,20,5,7,7,275
SIB,20,10,30,6,178
SIB,20,5,8,11,77
SIB,20,11,28,8,266
SIB,20,10,7,10,137
SIB,20,8,22,2,51975
SIB,20,8,5,6,722
SIB,20,2,9,6,151
SIB,20,7,2,1,1118
SIB,20,4,9,8,412
SIB,20,1,14,9,1256
SIB,20,2,14,8,488
SIB,20,3,8,9,244
SIB,20,6,21,9,244
SIB,20,8,6,9,1152
SIB,20,5,25,5,692
SIB,20,12,10,11,36
SIB,20,1,14,7,249
SIB,20,6,29,11,64
SIB,20,3,12,7,396
SIB,20,7,19,9,250
SIB,20,2,22,1,166
SIB,20,6,7,8,152
