direction,year,month,day,class,class_count,year_month_day,pre_post_bool,month_day
QB,21,5,19,6,893,210519,0,519
QB,21,5,19,9,1803,210519,0,519
QB,21,5,19,8,480,210519,0,519
QB,21,5,20,2,41283,210520,0,520
QB,21,5,20,5,2202,210520,0,520
QB,21,5,20,12,5,210520,0,520
QB,21,5,20,10,78,210520,0,520
QB,21,5,20,7,92,210520,0,520
QB,21,5,20,4,350,210520,0,520
QB,21,5,20,3,7154,210520,0,520
QB,21,5,20,6,1033,210520,0,520
QB,21,5,20,9,1720,210520,0,520
QB,21,5,20,1,289,210520,0,520
QB,21,5,20,13,8,210520,0,520
QB,21,5,20,8,506,210520,0,520
QB,21,5,20,11,66,210520,0,520
QB,21,5,21,12,4,210521,0,521
QB,21,5,21,8,490,210521,0,521
QB,21,5,21,11,69,210521,0,521
QB,21,5,21,10,87,210521,0,521
QB,21,5,21,2,44933,210521,0,521
QB,21,5,21,13,12,210521,0,521
QB,21,5,21,5,2071,210521,0,521
QB,21,5,21,7,105,210521,0,521
QB,21,5,21,6,866,210521,0,521
QB,21,5,21,1,124,210521,0,521
QB,21,5,21,9,1692,210521,0,521
QB,21,5,21,3,7864,210521,0,521
QB,21,5,21,4,251,210521,0,521
QB,21,5,22,4,116,210522,0,522
QB,21,5,22,13,2,210522,0,522
QB,21,5,22,9,831,210522,0,522
QB,21,5,22,7,15,210522,0,522
QB,21,5,22,3,5219,210522,0,522
QB,21,5,22,2,52507,210522,0,522
QB,21,5,22,8,298,210522,0,522
QB,21,5,22,1,51,210522,0,522
QB,21,5,22,6,340,210522,0,522
QB,21,5,22,11,26,210522,0,522
QB,21,5,22,10,12,210522,0,522
QB,21,5,22,5,1139,210522,0,522
QB,21,5,23,8,162,210523,0,523
QB,21,5,23,6,114,210523,0,523
QB,21,5,23,11,14,210523,0,523
QB,21,5,23,10,5,210523,0,523
QB,21,5,23,3,4061,210523,0,523
QB,21,5,23,5,683,210523,0,523
QB,21,5,23,4,151,210523,0,523
QB,21,5,23,9,423,210523,0,523
QB,21,5,23,1,37,210523,0,523
QB,21,5,23,7,3,210523,0,523
QB,21,5,23,2,51659,210523,0,523
QB,21,5,24,11,33,210524,0,524
