direction,year,month,day,class,class_count,year_month_date_type_int,year_month_date,week_day
QB,19,11,6,4,418,191106,2019-11-06,452
QB,19,11,6,12,1,191106,2019-11-06,452
QB,19,11,6,2,41947,191106,2019-11-06,452
QB,19,11,6,6,1004,191106,2019-11-06,452
QB,19,11,7,8,528,191107,2019-11-07,453
QB,19,11,7,10,148,191107,2019-11-07,453
QB,19,11,7,11,76,191107,2019-11-07,453
QB,19,11,7,12,2,191107,2019-11-07,453
QB,19,11,7,6,1017,191107,2019-11-07,453
QB,19,11,7,5,2146,191107,2019-11-07,453
QB,19,11,7,9,2050,191107,2019-11-07,453
QB,19,11,7,7,82,191107,2019-11-07,453
QB,19,11,7,2,44539,191107,2019-11-07,453
QB,19,11,7,13,12,191107,2019-11-07,453
QB,19,11,7,3,8113,191107,2019-11-07,453
QB,19,11,7,1,95,191107,2019-11-07,453
QB,19,11,7,4,368,191107,2019-11-07,453
QB,19,11,8,6,1012,191108,2019-11-08,454
QB,19,11,8,10,152,191108,2019-11-08,454
QB,19,11,8,8,513,191108,2019-11-08,454
QB,19,11,8,11,70,191108,2019-11-08,454
QB,19,11,8,7,131,191108,2019-11-08,454
QB,19,11,8,5,2064,191108,2019-11-08,454
QB,19,11,8,3,7438,191108,2019-11-08,454
QB,19,11,8,4,533,191108,2019-11-08,454
QB,19,11,8,2,43916,191108,2019-11-08,454
QB,19,11,8,9,1957,191108,2019-11-08,454
QB,19,11,8,13,14,191108,2019-11-08,454
QB,19,11,8,1,133,191108,2019-11-08,454
QB,19,11,8,12,5,191108,2019-11-08,454
QB,19,11,9,6,401,191109,2019-11-09,455
QB,19,11,9,13,5,191109,2019-11-09,455
QB,19,11,9,2,51121,191109,2019-11-09,455
QB,19,11,9,9,784,191109,2019-11-09,455
QB,19,11,9,10,86,191109,2019-11-09,455
QB,19,11,9,1,72,191109,2019-11-09,455
QB,19,11,9,7,20,191109,2019-11-09,455
QB,19,11,9,11,39,191109,2019-11-09,455
QB,19,11,9,8,257,191109,2019-11-09,455
QB,19,11,9,12,1,191109,2019-11-09,455
QB,19,11,9,3,5271,191109,2019-11-09,455
QB,19,11,9,5,1012,191109,2019-11-09,455
QB,19,11,9,4,491,191109,2019-11-09,455
QB,19,11,10,2,48640,191110,2019-11-10,456
QB,19,11,10,1,52,191110,2019-11-10,456
QB,19,11,10,11,28,191110,2019-11-10,456
QB,19,11,10,5,566,191110,2019-11-10,456
QB,19,11,10,8,132,191110,2019-11-10,456
QB,19,11,10,12,1,191110,2019-11-10,456
QB,19,11,10,6,119,191110,2019-11-10,456
QB,19,11,10,9,426,191110,2019-11-10,456
QB,19,11,10,4,385,191110,2019-11-10,456
QB,19,11,10,3,3767,191110,2019-11-10,456
QB,19,11,10,7,7,191110,2019-11-10,456
QB,19,11,10,10,8,191110,2019-11-10,456
QB,19,11,11,9,1634,191111,2019-11-11,460
QB,19,11,11,4,359,191111,2019-11-11,460
QB,19,11,11,3,7488,191111,2019-11-11,460
QB,19,11,11,6,916,191111,2019-11-11,460
QB,19,11,11,5,1943,191111,2019-11-11,460
QB,19,11,11,10,100,191111,2019-11-11,460
QB,19,11,11,2,44349,191111,2019-11-11,460
QB,19,11,11,11,44,191111,2019-11-11,460
QB,19,11,11,8,417,191111,2019-11-11,460
QB,19,11,11,12,3,191111,2019-11-11,460
QB,19,11,11,7,120,191111,2019-11-11,460
QB,19,11,11,1,81,191111,2019-11-11,460
QB,19,11,11,13,7,191111,2019-11-11,460
QB,19,11,12,13,9,191112,2019-11-12,461
QB,19,11,12,6,958,191112,2019-11-12,461
QB,19,11,12,12,4,191112,2019-11-12,461
QB,19,11,12,7,97,191112,2019-11-12,461
QB,19,11,12,1,84,191112,2019-11-12,461
QB,19,11,12,10,144,191112,2019-11-12,461
QB,19,11,12,3,7863,191112,2019-11-12,461
QB,19,11,12,8,511,191112,2019-11-12,461
QB,19,11,12,4,491,191112,2019-11-12,461
QB,19,11,12,11,62,191112,2019-11-12,461
QB,19,11,12,5,2114,191112,2019-11-12,461
QB,19,11,12,2,42522,191112,2019-11-12,461
QB,19,11,12,9,1900,191112,2019-11-12,461
QB,19,11,13,5,2136,191113,2019-11-13,462
QB,19,11,13,7,123,191113,2019-11-13,462
QB,19,11,13,13,14,191113,2019-11-13,462
QB,19,11,13,10,203,191113,2019-11-13,462
QB,19,11,13,11,73,191113,2019-11-13,462
QB,19,11,13,1,106,191113,2019-11-13,462
QB,19,11,13,9,2041,191113,2019-11-13,462
QB,19,11,13,2,43704,191113,2019-11-13,462
QB,19,11,13,8,518,191113,2019-11-13,462
QB,19,11,13,12,2,191113,2019-11-13,462
QB,19,11,13,6,946,191113,2019-11-13,462
QB,19,11,13,3,7904,191113,2019-11-13,462
QB,19,11,13,4,586,191113,2019-11-13,462
QB,19,11,14,13,11,191114,2019-11-14,463
QB,19,11,14,3,8196,191114,2019-11-14,463
QB,19,11,14,12,1,191114,2019-11-14,463
QB,19,11,14,7,115,191114,2019-11-14,463
QB,19,11,14,6,984,191114,2019-11-14,463
QB,19,11,14,2,44054,191114,2019-11-14,463
QB,19,11,14,9,2088,191114,2019-11-14,463
QB,19,11,14,5,2237,191114,2019-11-14,463
QB,19,11,14,10,230,191114,2019-11-14,463
QB,19,11,14,4,489,191114,2019-11-14,463
QB,19,11,14,11,83,191114,2019-11-14,463
QB,19,11,14,1,142,191114,2019-11-14,463
QB,19,11,14,8,514,191114,2019-11-14,463
QB,19,11,15,7,115,191115,2019-11-15,464
QB,19,11,15,8,505,191115,2019-11-15,464
QB,19,11,15,10,196,191115,2019-11-15,464
QB,19,11,15,12,1,191115,2019-11-15,464
QB,19,11,15,6,960,191115,2019-11-15,464
QB,19,11,15,13,10,191115,2019-11-15,464
QB,19,11,15,1,129,191115,2019-11-15,464
QB,19,11,15,4,496,191115,2019-11-15,464
QB,19,11,15,3,8049,191115,2019-11-15,464
QB,19,11,15,2,45310,191115,2019-11-15,464
QB,19,11,15,5,2100,191115,2019-11-15,464
QB,19,11,15,11,72,191115,2019-11-15,464
QB,19,11,15,9,1996,191115,2019-11-15,464
QB,19,11,16,7,16,191116,2019-11-16,465
QB,19,11,16,8,273,191116,2019-11-16,465
QB,19,11,16,13,4,191116,2019-11-16,465
QB,19,11,16,9,801,191116,2019-11-16,465
QB,19,11,16,4,501,191116,2019-11-16,465
QB,19,11,16,1,83,191116,2019-11-16,465
QB,19,11,16,12,2,191116,2019-11-16,465
QB,19,11,16,11,42,191116,2019-11-16,465
QB,19,11,16,2,51069,191116,2019-11-16,465
QB,19,11,16,6,382,191116,2019-11-16,465
QB,19,11,16,3,5294,191116,2019-11-16,465
QB,19,11,16,5,1021,191116,2019-11-16,465
QB,19,11,16,10,27,191116,2019-11-16,465
QB,19,11,17,2,50599,191117,2019-11-17,466
QB,19,11,17,8,141,191117,2019-11-17,466
QB,19,11,17,3,3694,191117,2019-11-17,466
QB,19,11,17,11,32,191117,2019-11-17,466
QB,19,11,17,4,408,191117,2019-11-17,466
QB,19,11,17,7,7,191117,2019-11-17,466
QB,19,11,17,10,4,191117,2019-11-17,466
QB,19,11,17,9,461,191117,2019-11-17,466
QB,19,11,17,6,107,191117,2019-11-17,466
QB,19,11,17,5,579,191117,2019-11-17,466
QB,19,11,17,1,65,191117,2019-11-17,466
QB,19,11,17,12,1,191117,2019-11-17,466
QB,19,11,18,8,393,191118,2019-11-18,470
QB,19,11,18,1,120,191118,2019-11-18,470
QB,19,11,18,11,45,191118,2019-11-18,470
QB,19,11,18,6,950,191118,2019-11-18,470
QB,19,11,18,12,2,191118,2019-11-18,470
QB,19,11,18,9,1958,191118,2019-11-18,470
QB,19,11,18,7,106,191118,2019-11-18,470
QB,19,11,18,2,42582,191118,2019-11-18,470
QB,19,11,18,5,2107,191118,2019-11-18,470
QB,19,11,18,3,7780,191118,2019-11-18,470
QB,19,11,18,10,220,191118,2019-11-18,470
QB,19,11,18,13,7,191118,2019-11-18,470
QB,19,11,18,4,481,191118,2019-11-18,470
QB,19,11,19,11,71,191119,2019-11-19,471
QB,19,11,19,2,43178,191119,2019-11-19,471
QB,19,11,19,1,151,191119,2019-11-19,471
QB,19,11,19,5,2185,191119,2019-11-19,471
QB,19,11,19,13,10,191119,2019-11-19,471
QB,19,11,19,3,8015,191119,2019-11-19,471
QB,19,11,19,4,425,191119,2019-11-19,471
QB,19,11,19,10,143,191119,2019-11-19,471
QB,19,11,19,7,117,191119,2019-11-19,471
QB,19,11,19,9,1952,191119,2019-11-19,471
QB,19,11,19,8,532,191119,2019-11-19,471
QB,19,11,19,6,959,191119,2019-11-19,471
QB,19,11,19,12,2,191119,2019-11-19,471
QB,19,11,20,9,2084,191120,2019-11-20,472
QB,19,11,20,6,1037,191120,2019-11-20,472
QB,19,11,20,2,44011,191120,2019-11-20,472
QB,19,11,20,5,2171,191120,2019-11-20,472
QB,19,11,20,10,151,191120,2019-11-20,472
QB,19,11,20,11,72,191120,2019-11-20,472
QB,19,11,20,8,546,191120,2019-11-20,472
QB,19,11,20,4,423,191120,2019-11-20,472
QB,19,11,20,3,8320,191120,2019-11-20,472
QB,19,11,20,13,11,191120,2019-11-20,472
QB,19,11,20,1,102,191120,2019-11-20,472
QB,19,11,20,12,2,191120,2019-11-20,472
QB,19,11,20,7,144,191120,2019-11-20,472
QB,19,11,21,8,524,191121,2019-11-21,473
QB,19,11,21,7,98,191121,2019-11-21,473
